Time,Temperature (°C),Humidity (%),Air Quality,Health Score,AQI Status
03:57:27,28.9,74.5,108,67,Moderate
04:01:37,28.9,74.4,104,68,Moderate
04:07:10,28.9,74.2,102,68,Moderate
04:11:38,28.9,74,97,68,Good
04:24:41,28.9,73.8,104,68,Moderate
04:26:43,28.9,73.7,102,68,Moderate
04:32:00,28.9,73.5,100,68,Good
04:36:43,28.9,73.5,103,68,Moderate
04:41:44,28.9,73.4,107,68,Moderate
04:46:43,28.9,73.3,110,68,Moderate
04:51:43,28.9,73.1,105,68,Moderate
04:56:45,28.9,73.1,111,68,Moderate
05:01:45,28.9,72.9,109,68,Moderate
05:06:45,28.9,72.8,110,68,Moderate
05:11:45,28.9,72.8,107,68,Moderate
05:16:45,28.9,72.7,110,68,Moderate
05:21:45,28.8,72.7,111,68,Moderate
05:26:45,28.8,72.8,106,69,Moderate
05:31:46,28.8,72.8,104,69,Moderate
05:36:45,28.8,72.8,107,69,Moderate
05:41:45,28.8,72.8,105,69,Moderate
05:46:45,28.8,72.7,107,69,Moderate
05:51:45,28.8,72.5,107,69,Moderate
05:56:45,28.8,72.4,108,69,Moderate
06:01:45,28.7,72.7,105,69,Moderate
06:06:45,28.7,72.7,106,69,Moderate
06:11:45,28.7,72.8,108,69,Moderate
06:16:45,28.7,72.8,109,69,Moderate
06:21:46,28.7,72.8,108,69,Moderate
06:26:45,28.6,72.8,106,69,Moderate
06:31:45,28.7,72.9,109,69,Moderate
06:36:45,28.7,72.8,109,69,Moderate
06:41:45,28.7,72.9,109,69,Moderate
06:46:45,28.7,72.8,113,68,Moderate
06:51:45,28.6,73,111,68,Moderate
06:56:45,28.7,73,111,68,Moderate
07:01:45,28.7,73,113,68,Moderate
07:06:45,28.7,73,115,68,Moderate
07:11:45,28.6,73.1,111,68,Moderate
07:16:45,28.7,72.9,116,68,Moderate
07:21:45,28.6,72.9,110,69,Moderate
07:26:45,28.7,72.6,109,69,Moderate
07:31:45,28.6,72.5,115,69,Moderate
07:36:45,28.6,72.3,115,69,Moderate
07:41:45,28.6,72.1,113,69,Moderate
07:46:45,28.6,71.9,114,69,Moderate
07:51:45,28.6,71.8,115,69,Moderate
07:56:45,28.6,71.5,129,68,Moderate
08:01:45,28.6,71.7,126,68,Moderate
08:06:45,28.6,71.5,124,69,Moderate
08:11:45,28.6,71.4,127,68,Moderate
08:16:45,28.6,71.2,124,69,Moderate
08:21:45,28.6,71.2,127,69,Moderate
08:26:45,28.6,71.1,121,69,Moderate
08:31:46,28.8,70.2,111,70,Moderate
08:36:45,28.7,70.8,129,69,Moderate
08:41:45,28.6,70.8,131,69,Moderate
08:46:45,28.6,70.8,126,69,Moderate
08:51:47,28.6,70.7,123,69,Moderate
08:56:45,28.6,70.7,122,69,Moderate
09:01:45,28.6,70.5,119,70,Moderate
09:06:47,28.6,70.5,127,69,Moderate
09:11:45,28.6,70.3,131,69,Moderate
09:16:45,28.6,70.3,123,69,Moderate
09:21:45,28.7,70.2,122,69,Moderate
09:26:46,28.7,70,132,69,Moderate
09:31:45,28.7,69.8,124,70,Moderate
09:36:45,28.7,69.8,125,70,Moderate
09:41:45,28.7,69.8,128,69,Moderate
09:46:45,28.6,69.7,128,70,Moderate
09:51:45,28.5,69.4,119,70,Moderate
09:56:45,28.5,69.1,118,71,Moderate
10:01:45,28.5,69.3,113,71,Moderate
10:06:45,28.6,69,115,71,Moderate
10:11:45,28.5,69.5,115,71,Moderate
10:16:45,28.5,69.9,115,70,Moderate
10:21:45,28.6,69.6,112,71,Moderate
10:26:45,28.6,70,116,70,Moderate
10:31:45,28.6,70.1,115,70,Moderate
10:36:45,28.7,70.1,114,70,Moderate
10:41:45,28.7,70.2,115,70,Moderate
10:46:45,28.7,69.6,119,70,Moderate
10:51:45,28.7,69.3,117,70,Moderate
10:56:45,28.7,69.1,120,70,Moderate
11:01:45,28.8,68.6,247,62,Poor
11:06:46,28.7,68.9,251,62,Poor
11:11:45,28.7,68.7,278,60,Poor
17:53:40,28.8,68,141,70,Moderate
17:58:37,28.7,67.1,136,71,Moderate
18:03:37,28.8,67.4,131,71,Moderate
18:08:36,28.7,67.9,132,70,Moderate
18:13:36,28.7,68.3,143,69,Moderate
18:18:36,28.7,68.4,137,70,Moderate
18:23:40,28.7,68.6,130,70,Moderate
18:29:01,28.6,68.7,123,71,Moderate
18:34:01,28.7,69.1,123,70,Moderate
18:39:03,28.7,69.4,121,70,Moderate
18:44:01,28.7,69.9,119,70,Moderate
18:49:00,28.7,70.1,121,70,Moderate
18:54:00,28.7,70.6,121,69,Moderate
18:59:01,28.7,70.9,123,69,Moderate
19:03:59,28.7,71.1,128,68,Moderate
19:09:02,28.7,71.2,122,69,Moderate
19:14:01,28.7,71.3,135,68,Moderate
19:19:01,28.7,71.4,142,67,Moderate
19:24:01,28.7,71.4,133,68,Moderate
19:29:01,28.7,71.4,135,68,Moderate
19:34:02,28.7,71.4,132,68,Moderate
19:39:01,28.7,71.4,130,68,Moderate
19:44:01,28.6,72.5,125,68,Moderate
19:49:01,28.6,72.5,123,68,Moderate
19:54:01,28.6,72.5,122,68,Moderate
19:59:01,28.7,72.4,121,68,Moderate
20:04:01,28.7,72.4,122,68,Moderate
20:09:02,28.7,72.4,121,68,Moderate
20:14:01,28.6,72.5,122,68,Moderate
20:19:04,28.6,72.6,121,68,Moderate
20:24:01,28.6,72.6,121,68,Moderate
20:29:01,28.6,72.5,123,68,Moderate
20:34:01,28.6,72.8,123,68,Moderate
20:39:02,28.7,74.5,122,67,Moderate
20:44:01,28.8,76.1,126,65,Moderate
20:49:01,28.9,77.6,124,64,Moderate
20:54:02,28.9,78.4,127,63,Moderate
20:59:03,28.9,79.4,130,63,Moderate
21:04:01,29,79.9,130,62,Moderate
21:09:00,28.9,80.2,131,62,Moderate
21:14:02,28.9,78.9,129,63,Moderate
21:19:01,28.8,77.7,131,64,Moderate
21:24:02,28.7,77.1,127,65,Moderate
21:29:01,28.6,76.6,125,65,Moderate
21:34:04,28.6,76.2,126,65,Moderate
21:39:01,28.6,75.8,125,66,Moderate
21:44:01,28.6,75.7,125,66,Moderate
21:49:01,28.7,75.9,150,64,Moderate
21:54:04,28.7,75.9,145,64,Moderate
21:59:01,28.7,75.9,139,65,Moderate
22:04:01,28.8,75.8,139,64,Moderate
22:09:01,28.8,75.6,139,65,Moderate
22:14:01,28.8,75.6,137,65,Moderate
22:19:01,28.9,75.4,145,64,Moderate
22:24:02,28.9,75.3,140,65,Moderate
22:29:02,28.9,75.3,143,64,Moderate
22:34:01,28.9,75.1,142,65,Moderate
22:39:03,28.9,75.1,139,65,Moderate
22:44:08,28.9,75.2,137,65,Moderate
22:49:02,28.9,75.1,135,65,Moderate
22:54:01,28.8,76.5,134,64,Moderate
22:59:03,28.7,77.5,133,64,Moderate
23:04:01,28.8,76.9,136,64,Moderate
23:09:01,28.8,76.5,133,64,Moderate
23:14:01,28.7,76.5,133,65,Moderate
23:19:01,28.5,77.1,128,65,Moderate
23:24:02,28.5,77.1,129,65,Moderate
23:29:03,28.5,77.1,131,65,Moderate
23:34:01,28.7,76.6,135,64,Moderate
