Time,Temperature (°C),Humidity (%),Air Quality,Health Score,AQI Status
12:26:38,28.9,58.1,157,84,Clean
12:26:56,28.8,58.1,147,84,Clean
12:27:24,28.9,57.9,141,84,Clean
12:27:30,28.9,57.9,138,84,Clean
12:27:49,28.9,57.8,134,84,Clean
12:28:37,28.9,57.6,128,84,Clean
12:28:43,28.9,57.6,135,84,Clean
12:29:01,28.9,57.6,129,84,Clean
12:29:18,28.9,57.5,132,84,Clean
12:29:24,28.9,57.4,140,84,Clean
12:29:31,28.9,57.4,135,84,Clean
12:29:37,28.9,57.4,135,84,Clean
12:29:43,28.9,57.4,141,84,Clean
12:30:10,28.9,57.3,129,85,Clean
12:30:26,28.9,57.2,127,85,Clean
12:30:33,28.9,57.2,127,85,Clean
12:30:51,28.9,57.1,124,85,Clean
12:31:08,28.9,57,128,85,Clean
12:31:14,28.9,57,131,85,Clean
12:31:41,28.9,56.8,125,85,Clean
12:31:57,28.9,56.8,128,85,Clean
12:32:04,28.9,56.7,133,85,Clean
12:32:11,28.9,56.7,132,85,Clean
12:32:27,28.9,56.6,127,85,Clean
12:32:33,28.9,56.6,130,85,Clean
12:32:50,28.9,56.6,127,85,Clean
12:32:56,28.9,56.6,121,85,Clean
12:33:03,28.9,56.6,127,85,Clean
12:33:21,28.9,56.6,120,85,Clean
12:33:37,28.9,56.6,129,85,Clean
12:33:44,28.9,56.5,121,85,Clean
12:33:50,28.9,56.5,123,85,Clean
12:33:56,28.9,56.5,119,85,Clean
12:34:04,28.9,56.5,117,85,Clean
12:34:10,28.9,56.4,121,85,Clean
12:34:37,28.9,56.4,118,85,Clean
12:34:53,28.9,56.4,119,85,Clean
12:35:00,28.9,56.4,122,85,Clean
12:35:26,28.9,56.4,116,85,Clean
12:36:03,28.9,56.3,117,85,Clean
12:36:10,28.9,56.3,115,85,Clean
12:36:27,28.9,56.2,115,85,Clean
12:36:33,28.9,56.2,112,85,Clean
12:36:40,28.9,56.2,113,85,Clean
12:37:06,28.9,56,119,85,Clean
12:37:13,28.9,56,112,86,Clean
12:37:19,28.9,56,116,86,Clean
12:37:36,28.9,56,113,86,Clean
12:37:42,28.9,56,121,85,Clean
12:37:59,28.9,56,115,86,Clean
12:38:25,28.9,56,117,86,Clean
12:38:32,28.9,56,120,85,Clean
12:38:58,28.9,55.9,121,86,Clean
12:39:17,28.9,56,117,86,Clean
12:39:36,28.9,55.9,115,86,Clean
12:39:42,28.9,55.9,112,86,Clean
12:39:49,28.9,55.8,111,86,Clean
12:40:37,28.9,55.7,112,86,Clean
12:40:43,28.9,55.7,115,86,Clean
12:40:50,29,55.6,115,86,Clean
12:40:56,28.9,55.7,111,86,Clean
12:41:35,28.9,55.6,121,86,Clean
12:41:41,28.9,55.6,119,86,Clean
12:41:59,28.9,55.6,113,86,Clean
12:42:06,28.9,55.6,116,86,Clean
12:42:34,28.9,55.4,113,86,Clean
12:42:41,28.9,55.4,116,86,Clean
12:42:59,28.9,55.4,122,86,Clean
12:43:06,28.9,55.4,117,86,Clean
12:43:12,28.9,55.4,109,86,Clean
12:43:50,28.9,55.4,116,86,Clean
12:44:10,28.9,55.4,114,86,Clean
12:44:59,28.9,55.4,119,86,Clean
12:45:17,28.9,55.4,116,86,Clean
12:45:35,28.9,55.4,116,86,Clean
12:45:53,29,55.3,107,86,Clean
12:46:39,28.9,55.6,111,86,Clean
12:46:46,28.9,55.6,117,86,Clean
12:46:52,28.9,55.6,124,86,Clean
12:47:39,28.9,55.6,111,86,Clean
12:47:46,29,55.5,112,86,Clean
12:48:05,29,55.5,111,86,Clean
12:48:21,28.9,55.6,118,86,Clean
12:48:28,29,55.5,119,86,Clean
12:48:34,28.9,55.6,120,86,Clean
12:48:41,29,55.5,115,86,Clean
12:49:09,29,55.5,111,86,Clean
12:49:16,29,55.5,109,86,Clean
12:49:22,29,55.5,107,86,Clean
12:49:38,29,55.5,110,86,Clean
12:49:45,29,55.5,105,86,Clean
12:49:51,29,55.5,107,86,Clean
12:49:58,29,55.5,109,86,Clean
12:50:04,29,55.5,107,86,Clean
12:50:10,29,55.5,110,86,Clean
12:50:29,29,55.5,107,86,Clean
12:50:45,29,55.5,111,86,Clean
12:51:14,29,55.5,108,86,Clean
12:51:41,29,55.5,115,86,Clean
12:51:58,28.9,55.6,111,86,Clean
12:52:05,28.9,55.6,115,86,Clean
12:52:11,28.9,55.6,119,86,Clean
12:52:18,28.9,55.6,114,86,Clean
12:52:24,28.9,55.6,115,86,Clean
12:52:41,28.9,55.5,112,86,Clean
12:52:59,28.9,55.4,115,86,Clean
12:53:17,28.9,55.4,111,86,Clean
12:53:24,28.9,55.4,116,86,Clean
12:53:30,28.9,55.4,119,86,Clean
12:53:58,28.9,55.4,111,86,Clean
12:54:05,28.9,55.4,111,86,Clean
12:54:23,28.9,55.4,110,86,Clean
12:54:30,28.9,55.4,112,86,Clean
12:55:08,28.9,55.3,113,86,Clean
12:55:26,28.9,55.3,114,86,Clean
12:55:42,29,55.2,109,86,Clean
12:56:00,28.9,55.3,113,86,Clean
12:56:57,29,55.2,112,86,Clean
12:57:13,29,55.2,109,86,Clean
12:57:50,29,55.1,111,86,Clean
12:57:57,29,55.1,110,86,Clean
12:58:03,29,55.1,110,86,Clean
12:58:10,29,55.1,105,86,Clean
12:58:26,29,55,110,86,Clean
12:59:03,29,54.9,105,86,Clean
12:59:10,29,54.9,104,86,Clean
12:59:33,29,54.8,108,86,Clean
12:59:40,29,54.8,113,86,Clean
12:59:46,29,54.8,112,86,Clean
12:59:54,29,54.8,111,86,Clean
13:00:22,29,54.8,110,86,Clean
13:00:38,29,54.7,112,86,Clean
13:00:45,29,54.7,109,86,Clean
13:00:51,29,54.7,111,86,Clean
13:00:57,29,54.7,111,86,Clean
13:01:15,29,54.7,116,86,Clean
13:02:13,29,54.6,111,86,Clean
13:02:31,29,54.5,111,86,Clean
13:02:38,29,54.5,108,86,Clean
13:02:45,29,54.5,113,86,Clean
13:02:51,29,54.5,111,86,Clean
13:02:57,29,54.5,108,86,Clean
13:03:04,29,54.5,111,86,Clean
13:03:10,29,54.5,109,86,Clean
13:03:17,29,54.5,109,86,Clean
13:03:35,29,54.4,110,87,Clean
13:03:41,29,54.4,113,86,Clean
13:04:26,29,54.4,107,87,Clean
13:04:43,29,54.4,113,86,Clean
13:04:50,29,54.4,107,87,Clean
13:04:57,29,54.4,110,87,Clean
13:05:44,29,54.4,106,87,Clean
13:05:50,29,54.4,113,86,Clean
13:05:58,29,54.4,114,86,Clean
13:06:05,29,54.4,123,86,Clean
13:07:03,29,54.4,119,86,Clean
13:07:09,29,54.4,123,86,Clean
13:07:16,29,54.4,121,86,Clean
13:07:42,29,54.3,117,87,Clean
13:07:49,29,54.2,117,87,Clean
13:07:55,29,54.2,120,87,Clean
13:08:13,29,54.2,119,87,Clean
13:08:31,29,54.2,119,87,Clean
13:08:37,29,54.2,119,87,Clean
13:08:44,29,54.1,119,87,Clean
13:09:01,29,54,117,87,Clean
13:09:21,29,54,126,87,Clean
13:09:27,29,54,118,87,Clean
13:09:33,29,54,121,87,Clean
13:09:40,29,54,122,87,Clean
13:09:58,29,53.9,121,87,Clean
13:10:15,29,53.9,119,87,Clean
13:10:34,29,53.8,122,87,Clean
13:10:52,29,53.8,117,87,Clean
13:11:19,29,53.7,120,87,Clean
13:11:26,29,53.7,117,87,Clean
13:11:42,29,53.6,119,87,Clean
13:12:10,29,53.6,114,87,Clean
13:12:28,29,53.5,118,87,Clean
13:12:35,29,53.5,115,87,Clean
13:13:03,29,53.5,116,87,Clean
13:13:09,29,53.5,121,87,Clean
13:13:15,29,53.5,125,87,Clean
13:13:33,29,53.4,128,87,Clean
13:13:52,29,53.3,125,87,Clean
13:13:58,29,53.2,120,87,Clean
13:14:27,29,53,115,87,Clean
13:14:34,29,52.9,111,88,Clean
13:14:52,29,52.8,116,88,Clean
13:14:58,29,52.8,114,88,Clean
13:15:26,29,52.5,113,88,Clean
13:15:54,29,52.3,114,88,Clean
13:16:00,29,52.3,114,88,Clean
13:16:06,29,52.2,114,88,Clean
13:16:13,29,52.2,125,88,Clean
13:16:19,29,52.1,118,88,Clean
13:17:17,29,52,110,88,Clean
13:17:24,29,52,117,88,Clean
13:17:51,29,51.9,111,88,Clean
13:18:19,29,51.8,109,88,Clean
13:18:26,29,51.9,110,88,Clean
13:18:53,29,51.8,116,88,Clean
13:19:00,29,51.8,115,88,Clean
13:19:06,29,51.8,118,88,Clean
13:20:01,29,51.7,116,88,Clean
13:20:08,29,51.7,119,88,Clean
13:20:14,29,51.7,110,88,Clean
13:20:21,29,51.6,117,88,Clean
13:20:27,29,51.7,117,88,Clean
13:20:33,29,51.6,116,88,Clean
13:20:52,29,51.5,114,88,Clean
13:21:19,29,51.5,113,88,Clean
13:21:26,29,51.5,112,88,Clean
13:21:32,29,51.4,111,89,Clean
13:21:50,29,51.4,116,88,Clean
13:22:08,29.1,51.3,115,88,Clean
13:22:14,29.1,51.3,114,88,Clean
13:22:20,29,51.3,118,88,Clean
13:22:37,29.1,51.3,115,88,Clean
13:22:55,29.1,51.3,117,88,Clean
13:23:12,29.1,51.3,115,88,Clean
13:23:19,29.1,51.2,119,88,Clean
13:23:25,29.1,51.2,115,88,Clean
13:23:54,29.1,51.1,118,88,Clean
13:24:00,29.1,51.2,108,89,Clean
13:24:35,29.1,51.3,115,88,Clean
13:24:53,29.1,51.3,112,88,Clean
13:25:21,29.1,51,114,89,Clean
13:25:48,29.1,50.7,112,89,Clean
13:26:26,29.1,50.7,108,89,Clean
13:26:33,29.1,50.8,109,89,Clean
13:26:39,29.1,50.8,109,89,Clean
13:26:46,29.1,50.7,109,89,Clean
13:27:04,29.1,50.7,114,89,Clean
13:27:10,29.1,50.8,108,89,Clean
13:27:16,29.1,50.7,111,89,Clean
13:27:23,29.1,50.7,112,89,Clean
13:27:30,29.1,50.7,110,89,Clean
13:27:36,29.1,50.7,116,89,Clean
13:28:04,29.1,50.7,108,89,Clean
13:28:10,29.2,50.6,104,89,Clean
13:28:17,29.2,50.6,105,89,Clean
13:28:23,29.2,50.5,102,89,Clean
13:29:00,29.2,50.4,105,89,Clean
13:29:27,29.2,50.2,106,89,Clean
13:29:45,29.2,50.1,114,89,Clean
13:29:52,29.2,50,112,89,Clean
13:29:58,29.2,50,113,89,Clean
13:30:05,29.2,49.9,120,89,Clean
13:30:12,29.2,49.9,115,89,Clean
13:30:19,29.2,49.9,111,89,Clean
13:30:46,29.2,49.7,111,89,Clean
13:30:53,29.2,49.6,115,89,Clean
13:31:00,29.2,49.6,115,89,Clean
13:31:06,29.2,49.5,119,89,Clean
13:31:33,29.2,49.4,116,89,Clean
13:31:39,29.2,49.4,111,89,Clean
13:32:16,29.2,49.3,113,89,Clean
13:32:42,29.2,49,103,89,Clean
13:32:59,29.2,49,110,89,Clean
13:33:07,29.2,48.9,114,88,Clean
13:33:13,29.2,48.9,110,88,Clean
13:33:31,29.2,48.8,113,88,Clean
13:33:48,29.2,48.7,116,88,Clean
13:34:05,29.2,48.6,106,88,Clean
13:34:22,29.2,48.5,110,88,Clean
13:34:29,29.2,48.4,110,88,Clean
13:34:37,29.2,48.4,115,88,Clean
13:34:44,29.1,48.3,110,88,Clean
13:35:03,29.1,48.3,112,88,Clean
13:35:31,29.1,48.1,108,88,Clean
13:35:38,29.1,48,107,88,Clean
13:36:07,29.1,48,107,88,Clean
13:36:14,29.1,48,109,88,Clean
13:36:20,29.1,48,111,88,Clean
13:36:49,29.1,47.9,105,88,Clean
13:36:56,29.1,47.9,107,88,Clean
13:37:02,29.1,47.9,109,88,Clean
13:37:31,29.1,47.8,109,88,Clean
13:37:37,29.1,47.8,115,88,Clean
13:37:44,29.1,47.7,115,88,Clean
13:37:51,29.1,47.7,111,88,Clean
13:38:49,29.1,47.5,112,88,Clean
13:39:18,29.1,47.4,109,88,Clean
13:39:24,29.1,47.5,113,88,Clean
13:40:17,29.1,47.4,115,88,Clean
13:40:35,29.1,47.4,111,88,Clean
13:40:42,29.1,47.4,110,88,Clean
13:40:49,29.1,47.4,115,88,Clean
13:41:08,29.1,47.3,112,87,Clean
13:41:45,29.1,47.2,108,87,Clean
13:42:03,29.1,47.1,110,87,Clean
13:42:22,29.1,47,107,87,Clean
13:42:39,29.1,47,113,87,Clean
13:42:46,29.1,46.9,107,87,Clean
13:42:53,29.1,46.9,107,87,Clean
13:42:59,29.1,46.9,109,87,Clean
13:44:07,29.2,46.7,107,87,Clean
13:44:14,29.2,46.7,105,87,Clean
13:44:40,29.1,46.7,107,87,Clean
13:45:17,29.2,46.6,106,87,Clean
13:45:23,29.2,46.6,110,87,Clean
13:45:29,29.2,46.5,104,87,Clean
13:45:57,29.2,46.4,109,87,Clean
13:46:15,29.2,46.4,104,87,Clean
13:46:21,29.2,46.4,110,87,Clean
13:46:38,29.2,46.4,106,87,Clean
13:46:56,29.2,46.4,129,87,Clean
13:47:02,29.2,46.4,124,87,Clean
13:47:08,29.2,46.5,129,87,Clean
13:47:15,29.2,46.4,132,87,Clean
13:51:05,29.2,45.6,117,86,Clean
13:51:41,29.3,45.1,121,86,Clean
13:51:48,29.4,44.2,113,85,Clean
13:53:42,29.4,43.8,117,85,Clean
13:53:49,29.4,44,123,85,Clean
13:54:07,29.4,44.1,110,85,Clean
13:54:35,29.4,44.1,106,85,Clean
13:54:41,29.4,44.1,103,85,Clean
13:55:07,29.3,44.2,107,85,Clean
13:55:14,29.3,44.2,104,85,Clean
13:56:55,29.3,44.2,106,85,Clean
13:57:02,29.3,44.3,107,85,Clean
13:57:09,29.3,44.3,104,85,Clean
13:57:25,29.3,44.3,109,85,Clean
13:57:52,29.3,44.3,109,85,Clean
13:57:58,29.3,44.6,106,85,Clean
13:58:15,29.4,44.4,102,85,Clean
13:58:22,29.4,44.5,104,85,Clean
13:58:38,29.5,44.4,107,85,Clean
13:58:44,29.5,44.4,107,85,Clean
13:58:52,29.5,44.2,109,85,Clean
13:59:08,29.6,44.2,108,85,Clean
13:59:25,29.6,44.1,107,85,Clean
13:59:31,29.7,44,106,85,Clean
13:59:48,29.7,44,100,85,Clean
13:59:54,29.6,43.8,101,85,Clean
14:00:31,29.6,43.7,102,85,Clean
14:00:37,29.5,43.7,102,85,Clean
14:00:43,29.5,43.7,100,85,Clean
14:01:00,29.5,43.7,101,85,Clean
14:01:16,29.4,43.9,101,85,Clean
14:01:23,29.4,43.9,103,85,Clean
14:01:29,29.4,43.9,102,85,Clean
14:02:06,29.4,43.9,100,85,Clean
14:02:12,29.4,43.9,101,85,Clean
14:02:18,29.4,43.9,99,85,Clean
14:02:25,29.4,43.9,102,85,Clean
14:03:01,29.4,43.9,103,85,Clean
14:03:07,29.4,44,103,85,Clean
14:03:14,29.3,44,103,85,Clean
14:03:30,29.3,44,100,85,Clean
14:03:37,29.3,44,99,85,Clean
14:03:43,29.3,44,98,85,Clean
14:03:51,29.3,44,101,85,Clean
14:04:08,29.3,44,102,85,Clean
14:04:14,29.3,44,102,85,Clean
14:04:21,29.3,44,100,85,Clean
14:04:28,29.3,43.9,102,85,Clean
14:04:34,29.3,44,101,85,Clean
14:05:02,29.3,43.9,100,85,Clean
14:05:08,29.3,44,101,85,Clean
14:05:15,29.3,43.9,98,85,Clean
14:05:21,29.3,43.9,99,85,Clean
14:05:38,29.3,43.9,103,85,Clean
14:05:54,29.4,43.9,100,85,Clean
14:06:02,29.3,43.9,97,85,Clean
14:06:28,29.4,43.8,100,85,Clean
14:06:35,29.4,43.8,102,85,Clean
14:06:41,29.3,43.8,104,85,Clean
14:06:48,29.4,43.8,100,85,Clean
14:07:04,29.4,43.8,105,85,Clean
14:07:10,29.4,43.8,101,85,Clean
14:07:27,29.3,43.8,103,85,Clean
14:07:33,29.4,43.8,100,85,Clean
14:07:39,29.4,43.7,97,85,Clean
14:07:56,29.3,43.7,102,85,Clean
14:08:02,29.4,43.7,104,85,Clean
14:08:08,29.4,43.7,100,85,Clean
14:08:25,29.4,43.7,102,85,Clean
14:08:31,29.4,43.7,103,85,Clean
14:08:38,29.4,43.7,101,85,Clean
14:08:44,29.4,43.7,102,85,Clean
14:08:50,29.4,43.7,105,85,Clean
14:09:07,29.4,43.8,103,85,Clean
14:09:14,29.4,43.7,98,85,Clean
14:09:20,29.4,43.7,101,85,Clean
14:09:27,29.4,43.7,101,85,Clean
14:10:09,29.4,43.7,101,85,Clean
14:10:27,29.4,43.6,102,85,Clean
14:10:33,29.4,43.7,100,85,Clean
14:11:01,29.4,43.7,99,85,Clean
14:11:38,29.4,43.6,102,85,Clean
14:11:45,29.4,43.6,100,85,Clean
14:12:02,29.4,43.6,102,85,Clean
14:12:20,29.4,43.7,102,85,Clean
14:13:08,29.4,43.7,102,85,Clean
14:13:26,29.4,43.7,103,85,Clean
14:13:32,29.4,43.7,100,85,Clean
14:13:39,29.4,43.7,99,85,Clean
14:14:06,29.4,43.7,99,85,Clean
14:14:34,29.4,43.7,100,85,Clean
14:15:30,29.4,43.7,99,85,Clean
14:15:36,29.4,43.7,100,85,Clean
14:16:14,29.4,43.7,100,85,Clean
14:16:32,29.4,43.7,102,85,Clean
14:16:38,29.4,43.7,100,85,Clean
14:17:15,29.4,43.8,102,85,Clean
14:17:21,29.4,43.8,100,85,Clean
14:17:37,29.4,43.8,99,85,Clean
14:18:04,29.4,43.8,100,85,Clean
14:25:37,29.5,43.3,100,84,Clean
14:25:43,29.5,43.1,101,84,Clean
14:26:01,29.6,43.1,100,84,Clean
14:26:29,29.8,42.2,99,83,Clean
14:26:45,29.9,42.2,100,83,Clean
14:26:51,29.9,42.2,100,83,Clean
14:27:09,29.9,42.3,98,83,Clean
