Time,Temperature (°C),Humidity (%),Air Quality,Health Score,AQI Status
08:56:33,27.1,57.3,4095,55,Poor
08:56:40,27.3,58.4,3505,54,Poor
08:56:46,27.3,58.3,2896,55,Poor
08:56:53,27.4,58.2,2592,59,Poor
08:57:00,27.4,58.1,2325,62,Poor
08:57:16,27.4,58.1,1951,66,Moderate
08:57:23,27.4,58,1872,67,Moderate
08:57:30,27.4,58,1801,67,Moderate
08:57:36,27.4,58,1748,68,Moderate
08:57:43,27.4,57.9,1713,69,Moderate
08:57:49,27.4,57.9,1661,69,Moderate
08:57:55,27.4,57.9,1645,69,Moderate
08:58:02,27.4,57.9,1650,69,Moderate
08:58:08,27.4,57.9,1622,70,Moderate
08:58:15,27.4,57.8,1600,70,Moderate
08:58:21,27.4,57.8,1573,70,Moderate
08:58:27,27.4,57.8,1574,70,Moderate
08:58:34,27.4,57.8,1559,70,Moderate
08:58:40,27.4,57.8,1535,71,Moderate
08:58:46,27.4,57.8,1555,70,Moderate
08:58:53,27.4,57.7,1524,71,Moderate
08:59:01,27.4,57.7,1501,71,Moderate
08:59:07,27.4,57.7,1486,71,Moderate
08:59:14,27.4,57.7,1520,71,Moderate
08:59:20,27.4,57.7,1463,71,Moderate
08:59:27,27.4,57.7,1481,71,Moderate
08:59:33,27.4,57.7,1484,71,Moderate
08:59:40,27.4,57.7,1479,71,Moderate
08:59:46,27.4,57.7,1471,71,Moderate
08:59:52,27.4,57.7,1487,71,Moderate
08:59:59,27.4,57.7,1483,71,Moderate
09:00:05,27.4,57.7,1438,72,Moderate
09:00:11,27.4,57.7,1457,71,Moderate
09:00:18,27.4,57.7,1437,72,Moderate
09:00:24,27.4,57.6,1459,72,Moderate
09:00:33,27.4,57.7,1460,71,Moderate
09:00:39,27.4,57.6,1462,71,Moderate
09:00:46,27.4,57.6,1424,72,Moderate
09:00:52,27.4,57.6,1425,72,Moderate
09:00:58,27.4,57.6,1462,71,Moderate
09:01:15,27.4,57.6,1456,72,Moderate
09:01:21,27.4,57.6,1424,72,Moderate
09:01:28,27.4,57.5,1425,72,Moderate
09:01:34,27.4,57.5,1449,72,Moderate
09:01:40,27.4,57.5,1437,72,Moderate
09:01:47,27.4,57.6,1449,72,Moderate
09:02:04,27.4,57.5,1423,72,Moderate
09:02:11,27.4,57.5,1434,72,Moderate
09:02:17,27.4,57.5,1392,72,Moderate
09:02:23,27.4,57.5,1422,72,Moderate
09:02:30,27.4,57.5,1434,72,Moderate
09:02:36,27.4,57.5,1408,72,Moderate
09:02:44,27.4,57.5,1397,72,Moderate
09:02:51,27.4,57.5,1408,72,Moderate
09:02:57,27.4,57.5,1412,72,Moderate
09:03:05,27.4,57.5,1435,72,Moderate
09:03:11,27.4,57.5,1425,72,Moderate
09:03:18,27.4,57.5,1395,72,Moderate
09:03:24,27.4,57.5,1422,72,Moderate
09:03:31,27.4,57.5,1392,72,Moderate
09:03:37,27.4,57.5,1371,73,Moderate
09:03:43,27.4,57.5,1393,72,Moderate
09:03:50,27.4,57.5,1386,72,Moderate
09:03:56,27.4,57.4,1405,72,Moderate
09:04:05,27.4,57.4,1391,72,Moderate
09:04:11,27.4,57.4,1402,72,Moderate
09:04:18,27.4,57.4,1414,72,Moderate
09:04:24,27.4,57.4,1394,72,Moderate
09:04:30,27.4,57.3,1397,72,Moderate
09:04:37,27.4,57.3,1424,72,Moderate
09:04:43,27.4,57.3,1392,72,Moderate
09:04:50,27.4,57.3,1379,73,Moderate
09:04:56,27.4,57.3,1367,73,Moderate
09:05:02,27.4,57.3,1392,72,Moderate
09:05:09,27.4,57.3,1395,72,Moderate
09:05:15,27.4,57.4,1373,73,Moderate
09:05:22,27.4,57.4,1381,73,Moderate
09:05:28,27.4,57.4,1365,73,Moderate
