Time,Temperature (°C),Humidity (%),Air Quality,Health Score,AQI Status
18:25:14,28,59.9,198,83,Clean
18:25:20,28.7,59.7,195,82,Clean
18:28:10,28.7,59.8,156,83,Clean
18:28:17,28.6,59.9,159,83,Clean
18:28:24,28.6,59.9,157,83,Clean
18:28:31,28.6,59.9,156,83,Clean
18:28:38,28.6,59.9,158,83,Clean
18:28:44,28.6,59.9,153,83,Clean
18:28:51,28.6,59.9,154,83,Clean
18:28:57,28.6,59.9,155,83,Clean
18:29:04,28.6,59.9,154,83,Clean
18:29:10,28.6,59.9,148,83,Clean
18:29:17,28.6,59.9,148,83,Clean
18:29:23,28.6,59.9,152,83,Clean
18:29:32,28.6,59.9,146,83,Clean
18:29:39,28.6,59.9,150,83,Clean
18:29:46,28.6,59.9,153,83,Clean
18:29:53,28.6,59.9,150,83,Clean
18:30:00,28.6,59.9,147,83,Clean
18:30:06,28.6,59.9,152,83,Clean
18:30:13,28.6,59.9,147,83,Clean
18:30:19,28.6,59.9,153,83,Clean
18:30:26,28.6,59.9,152,83,Clean
18:30:32,28.6,59.9,153,83,Clean
18:30:40,28.6,61.2,158,82,Clean
18:30:46,28.6,60.3,152,83,Clean
18:30:52,28.6,60.1,152,83,Clean
18:30:59,28.6,60,155,83,Clean
18:31:06,28.6,60,147,83,Clean
18:31:12,28.7,60,146,83,Clean
18:31:18,28.7,60,148,83,Clean
18:31:25,28.7,59.9,147,83,Clean
18:31:31,28.7,59.9,146,83,Clean
18:31:37,28.7,59.9,146,83,Clean
18:31:44,28.7,59.9,150,83,Clean
18:31:50,28.7,59.9,145,83,Clean
18:31:57,28.7,59.9,141,83,Clean
18:32:03,28.7,59.9,137,83,Clean
18:32:09,28.7,59.9,150,83,Clean
18:32:16,28.7,59.9,146,83,Clean
18:32:22,28.7,59.9,147,83,Clean
18:32:29,28.7,59.9,147,83,Clean
18:32:35,28.6,59.9,141,83,Clean
18:32:42,28.7,59.9,143,83,Clean
18:32:48,28.7,59.9,144,83,Clean
18:33:06,28.7,59.9,138,83,Clean
18:33:13,28.7,59.9,141,83,Clean
18:33:19,28.7,59.9,140,83,Clean
18:33:26,28.7,59.9,137,83,Clean
