Time,Temperature (°C),Humidity (%),Air Quality,Health Score,AQI Status
00:03:41,28.5,70.4,212,64,Poor
00:03:47,29,73.2,193,62,Moderate
00:03:53,29,73,182,63,Moderate
00:04:01,29,72.9,173,64,Moderate
00:04:08,29,72.8,168,64,Moderate
00:04:14,29,72.7,164,65,Moderate
00:04:21,29,72.6,162,65,Moderate
00:04:27,29,72.6,159,65,Moderate
00:04:34,29,72.6,160,65,Moderate
00:04:40,29,72.5,158,65,Moderate
00:04:47,29,72.4,158,65,Moderate
00:04:53,29,72.3,154,66,Moderate
00:04:59,29.1,72.3,156,65,Moderate
00:05:07,29.1,72.3,154,65,Moderate
00:05:13,29.1,72.3,153,65,Moderate
00:05:20,29.1,72.3,152,66,Moderate
00:05:26,29.1,72.3,153,65,Moderate
00:05:32,29.1,72.2,151,66,Moderate
00:05:39,29.1,72.2,152,66,Moderate
00:05:55,29.1,72.2,151,66,Moderate
00:06:01,29.1,72.2,151,66,Moderate
00:06:08,29.1,72.1,151,66,Moderate
00:06:14,29.1,72.1,149,66,Moderate
00:06:20,29.1,72.1,150,66,Moderate
00:06:27,29.1,72.1,149,66,Moderate
00:06:33,29.1,72.1,148,66,Moderate
00:06:40,29.1,72.1,152,66,Moderate
00:06:46,29.1,72.1,148,66,Moderate
00:06:53,29.1,72.1,150,66,Moderate
00:06:59,29.1,72.1,150,66,Moderate
00:07:06,29.1,72.1,148,66,Moderate
00:07:12,29.1,72,150,66,Moderate
00:07:18,29.1,72,149,66,Moderate
00:07:25,29.1,72,150,66,Moderate
00:07:31,29.1,72,149,66,Moderate
00:07:38,29.1,71.9,150,66,Moderate
00:07:44,29.1,71.9,149,66,Moderate
00:07:50,29.1,71.9,147,66,Moderate
00:07:57,29.1,71.9,149,66,Moderate
00:08:03,29.1,71.9,148,66,Moderate
00:08:10,29.1,71.9,149,66,Moderate
00:08:17,29.1,71.9,149,66,Moderate
00:08:23,29.1,71.9,150,66,Moderate
00:08:30,29.1,71.9,149,66,Moderate
00:08:36,29.1,71.8,150,66,Moderate
00:08:43,29.1,71.8,148,66,Moderate
00:08:49,29.1,71.8,148,66,Moderate
00:08:56,29.1,71.8,148,66,Moderate
00:09:02,29.1,71.8,147,66,Moderate
00:09:08,29.1,71.8,150,66,Moderate
00:09:15,29.1,71.8,147,66,Moderate
00:09:21,29.2,71.8,150,66,Moderate
00:09:28,29.2,71.8,148,66,Moderate
00:09:34,29.1,71.8,149,66,Moderate
00:09:41,29.2,71.8,148,66,Moderate
00:09:47,29.1,71.8,150,66,Moderate
00:09:54,29.2,71.8,150,66,Moderate
00:10:01,29.2,71.8,150,66,Moderate
00:10:07,29.2,71.8,148,66,Moderate
00:10:14,29.2,71.8,149,66,Moderate
00:10:20,29.2,71.8,150,66,Moderate
00:10:26,29.2,71.8,149,66,Moderate
00:10:33,29.2,71.8,150,66,Moderate
00:10:39,29.2,71.8,149,66,Moderate
00:10:45,29.2,71.8,148,66,Moderate
00:10:52,29.2,71.8,150,66,Moderate
00:10:58,29.2,71.8,148,66,Moderate
00:11:05,29.2,71.8,150,66,Moderate
00:11:11,29.2,71.8,149,66,Moderate
00:11:17,29.2,71.8,148,66,Moderate
00:11:24,29.2,71.8,147,66,Moderate
00:11:30,29.2,71.7,148,66,Moderate
00:11:37,29.2,71.7,147,66,Moderate
00:11:43,29.2,71.7,150,66,Moderate
00:11:49,29.2,71.7,150,66,Moderate
00:11:56,29.2,71.7,148,66,Moderate
00:12:02,29.2,71.7,150,66,Moderate
00:12:09,29.2,71.7,149,66,Moderate
00:12:15,29.2,71.7,148,66,Moderate
00:12:21,29.2,71.7,148,66,Moderate
00:12:28,29.2,71.7,150,66,Moderate
00:12:34,29.2,71.7,148,66,Moderate
00:12:41,29.2,71.7,150,66,Moderate
00:12:47,29.2,71.7,150,66,Moderate
00:12:53,29.2,71.7,149,66,Moderate
00:13:00,29.2,71.7,150,66,Moderate
00:13:06,29.2,71.7,148,66,Moderate
00:13:12,29.2,71.7,149,66,Moderate
00:13:19,29.2,71.7,150,66,Moderate
00:13:25,29.2,71.7,150,66,Moderate
00:13:31,29.2,71.7,170,65,Moderate
00:13:38,29.2,71.7,190,63,Moderate
00:13:44,29.2,71.7,220,61,Poor
00:13:51,29.2,71.7,239,60,Poor
00:13:57,29.2,71.7,248,59,Poor
00:14:04,29.2,71.7,260,59,Poor
00:14:10,29.2,71.6,266,58,Poor
00:14:16,29.2,71.7,271,58,Poor
00:14:23,29.2,71.6,270,58,Poor
00:14:29,29.2,71.6,271,58,Poor
00:14:36,29.2,71.6,272,58,Poor
00:14:42,29.2,71.6,274,58,Poor
00:14:48,29.2,71.6,271,58,Poor
00:14:55,29.2,71.6,269,58,Poor
00:15:01,29.2,71.6,270,58,Poor
00:15:08,29.1,71.6,270,58,Poor
00:15:14,29.1,71.6,269,58,Poor
00:15:21,29.1,71.6,269,58,Poor
00:15:27,29.2,71.7,268,58,Poor
00:15:34,29.2,71.7,268,58,Poor
00:15:40,29.2,71.7,267,58,Poor
00:15:47,29.1,71.7,269,58,Poor
00:15:53,29.2,71.7,266,58,Poor
00:15:59,29.2,71.7,267,58,Poor
00:16:06,29.2,71.7,264,58,Poor
00:16:14,29.2,71.6,268,58,Poor
00:16:20,29.2,71.7,265,58,Poor
00:16:27,29.2,71.7,266,58,Poor
00:16:33,29.2,71.6,264,58,Poor
00:16:39,29.2,71.6,263,58,Poor
00:16:46,29.2,71.7,264,58,Poor
00:16:52,29.2,71.7,264,58,Poor
00:16:59,29.2,71.7,262,58,Poor
00:17:05,29.1,71.7,263,59,Poor
00:17:11,29.2,71.7,263,58,Poor
00:17:18,29.2,71.7,264,58,Poor
00:17:24,29.2,71.7,264,58,Poor
00:17:30,29.2,71.6,262,59,Poor
00:17:37,29.2,71.6,264,58,Poor
00:17:45,29.2,71.6,261,59,Poor
00:17:51,29.2,71.6,261,59,Poor
00:17:57,29.2,71.6,263,58,Poor
00:18:04,29.2,71.6,263,58,Poor
00:18:10,29.2,71.6,263,58,Poor
00:18:16,29.2,71.6,260,59,Poor
00:18:23,29.2,71.6,258,59,Poor
00:18:29,29.2,71.6,258,59,Poor
00:18:36,29.2,71.6,261,59,Poor
00:18:42,29.2,71.6,261,59,Poor
00:18:48,29.2,71.6,261,59,Poor
00:18:55,29.2,71.6,260,59,Poor
00:19:01,29.2,71.6,260,59,Poor
00:19:07,29.2,71.6,260,59,Poor
00:19:14,29.1,71.6,262,59,Poor
00:19:20,29.2,71.6,260,59,Poor
00:19:26,29.2,71.6,257,59,Poor
00:19:33,29.2,71.6,256,59,Poor
00:19:39,29.1,71.6,256,59,Poor
00:19:45,29.1,71.6,256,59,Poor
00:19:52,29.1,71.6,257,59,Poor
00:19:58,29.2,71.6,255,59,Poor
00:20:05,29.2,71.6,258,59,Poor
00:20:11,29.2,71.6,256,59,Poor
00:20:18,29.1,71.6,258,59,Poor
00:20:24,29.1,71.6,254,59,Poor
00:20:30,29.1,71.6,255,59,Poor
00:20:37,29.2,71.6,255,59,Poor
00:20:43,29.2,71.6,253,59,Poor
00:20:50,29.2,71.6,253,59,Poor
00:20:56,29.2,71.6,255,59,Poor
00:21:03,29.2,71.6,255,59,Poor
00:21:09,29.2,71.6,252,59,Poor
00:21:16,29.2,71.6,255,59,Poor
00:21:22,29.2,71.5,256,59,Poor
00:21:29,29.2,71.5,255,59,Poor
00:21:35,29.2,71.5,252,59,Poor
00:21:42,29.2,71.5,252,59,Poor
00:21:48,29.2,71.6,252,59,Poor
00:21:54,29.2,71.6,253,59,Poor
00:22:01,29.2,71.5,251,59,Poor
00:22:07,29.2,71.5,249,59,Poor
00:22:14,29.2,71.5,252,59,Poor
00:22:21,29.2,71.5,252,59,Poor
00:22:28,29.2,71.5,250,59,Poor
00:22:34,29.2,71.5,253,59,Poor
00:22:40,29.2,71.5,250,59,Poor
00:22:47,29.2,71.5,250,59,Poor
00:22:53,29.2,71.5,249,59,Poor
00:23:00,29.2,71.5,251,59,Poor
00:23:06,29.2,71.5,254,59,Poor
00:23:12,29.2,71.5,251,59,Poor
00:23:19,29.2,71.5,252,59,Poor
00:23:25,29.2,71.5,250,59,Poor
00:23:31,29.2,71.5,248,60,Poor
00:23:38,29.2,71.5,249,59,Poor
00:23:44,29.2,71.5,247,60,Poor
00:23:51,29.2,71.5,249,59,Poor
00:23:57,29.2,71.5,247,60,Poor
00:24:04,29.2,71.5,247,60,Poor
00:24:10,29.2,71.5,247,60,Poor
00:24:17,29.2,71.5,248,60,Poor
00:24:23,29.2,71.5,248,60,Poor
00:24:29,29.2,71.5,248,60,Poor
00:24:36,29.1,71.5,248,60,Poor
00:24:42,29.1,71.5,245,60,Poor
00:24:48,29.2,71.5,248,60,Poor
00:24:55,29.1,71.5,247,60,Poor
00:25:01,29.1,71.5,246,60,Poor
00:25:08,29.1,71.5,244,60,Poor
00:25:14,29.1,71.5,246,60,Poor
00:25:21,29.1,71.5,246,60,Poor
00:25:27,29.1,71.5,245,60,Poor
00:25:34,29.1,71.5,245,60,Poor
00:25:40,29.1,71.5,245,60,Poor
00:25:46,29.1,71.5,247,60,Poor
00:25:53,29.1,71.5,246,60,Poor
00:25:59,29.1,71.5,243,60,Poor
