Time,Temperature (°C),Humidity (%),Air Quality,Health Score,AQI Status
00:00:15,29.3,63.3,179,69,Moderate
00:00:21,29.3,63.4,190,69,Moderate
00:00:59,29.3,63.5,178,69,Moderate
00:01:17,29.2,63.6,174,70,Moderate
00:01:23,29.2,63.6,174,70,Moderate
00:02:21,29.2,63.6,167,70,Moderate
00:02:39,29.2,63.6,174,70,Moderate
00:03:08,29.2,63.6,171,70,Moderate
00:03:46,29.3,63.5,158,71,Moderate
00:04:12,29.3,63.3,159,71,Moderate
00:04:19,29.3,63.3,158,71,Moderate
00:04:26,29.3,63.3,157,71,Moderate
00:04:32,29.3,63.2,156,71,Moderate
00:04:38,29.3,63.2,156,71,Moderate
00:05:16,29.3,63.2,156,71,Moderate
00:05:23,29.3,63.2,160,71,Moderate
00:05:41,29.3,63.2,164,71,Moderate
00:06:00,29.3,63.3,168,70,Moderate
00:06:06,29.3,63.3,169,70,Moderate
00:06:44,29.3,63.2,160,71,Moderate
00:06:50,29.3,63.2,157,71,Moderate
00:06:57,29.3,63.2,157,71,Moderate
00:07:03,29.3,63.2,157,71,Moderate
00:07:10,29.3,63.1,155,71,Moderate
00:07:58,29.3,63,156,71,Moderate
00:08:05,29.3,62.9,154,71,Moderate
00:08:12,29.3,62.9,153,71,Moderate
00:08:29,29.3,62.9,153,71,Moderate
00:08:36,29.3,62.8,154,71,Moderate
00:08:42,29.3,62.8,154,71,Moderate
00:08:49,29.3,62.8,151,72,Moderate
00:09:27,29.3,62.8,156,71,Moderate
00:09:55,29.3,62.8,169,70,Moderate
00:10:23,29.3,62.8,158,71,Moderate
00:10:30,29.3,62.8,155,71,Moderate
00:10:46,29.3,62.8,155,71,Moderate
00:10:52,29.3,62.8,155,71,Moderate
00:11:20,29.3,62.8,156,71,Moderate
00:11:37,29.3,62.8,159,71,Moderate
00:12:15,29.2,63.1,164,71,Moderate
00:12:21,29.2,63.2,162,71,Moderate
00:12:28,29.2,63.2,160,71,Moderate
00:12:45,29.2,63.2,169,70,Moderate
00:13:10,29.2,63.2,161,71,Moderate
00:13:37,29.2,63.4,164,71,Moderate
00:13:43,29.2,63.4,172,70,Moderate
00:13:50,29.2,63.4,174,70,Moderate
00:14:18,29.2,63.4,182,69,Moderate
00:14:36,29.1,63.5,177,70,Moderate
00:15:14,29.1,63.6,179,70,Moderate
00:15:33,29.1,63.6,186,69,Moderate
00:18:23,29,63.8,165,70,Moderate
00:18:30,29,63.7,174,70,Moderate
00:18:36,29,63.7,169,70,Moderate
00:18:43,29,63.7,183,69,Moderate
00:18:49,29,63.8,178,70,Moderate
00:18:57,29,63.8,175,70,Moderate
00:19:03,29,63.8,179,70,Moderate
00:19:10,29,63.8,178,70,Moderate
00:19:16,29,63.8,179,70,Moderate
00:19:23,29,63.8,179,70,Moderate
00:19:32,29,63.8,182,69,Moderate
00:19:39,29,63.9,186,69,Moderate
00:19:46,29,63.9,187,69,Moderate
00:19:52,29,63.9,184,69,Moderate
00:19:59,29,63.9,182,69,Moderate
00:20:05,29,63.9,182,69,Moderate
00:20:12,29,63.9,180,69,Moderate
00:20:19,29,63.9,184,69,Moderate
00:20:25,28.9,64,176,70,Moderate
00:20:32,29,63.9,178,70,Moderate
00:20:40,29,63.9,181,69,Moderate
00:20:47,29,63.9,181,69,Moderate
00:20:53,28.9,64,187,69,Moderate
00:21:00,28.9,64,185,69,Moderate
00:21:06,28.9,64,187,69,Moderate
00:21:12,28.9,64,180,69,Moderate
00:21:19,28.9,64,185,69,Moderate
00:21:25,28.9,64,184,69,Moderate
00:21:31,29,63.9,185,69,Moderate
00:21:38,29,63.9,181,69,Moderate
00:21:44,28.9,64,181,69,Moderate
00:21:51,28.9,64,183,69,Moderate
00:21:57,28.9,64,186,69,Moderate
00:22:23,28.9,64,185,69,Moderate
00:22:33,28.9,64,187,69,Moderate
00:22:39,28.9,64,186,69,Moderate
00:22:46,28.9,64,183,69,Moderate
00:23:14,29,63.9,178,70,Moderate
00:23:20,28.9,64,178,70,Moderate
00:23:26,28.9,64,179,70,Moderate
00:23:33,28.9,64,179,70,Moderate
00:23:39,28.9,63.9,181,69,Moderate
00:24:17,28.9,63.9,182,69,Moderate
00:24:23,28.9,63.9,174,70,Moderate
00:24:30,28.9,63.9,178,70,Moderate
00:24:37,28.9,63.9,180,70,Moderate
00:24:44,28.9,63.9,180,70,Moderate
00:25:04,28.9,63.9,183,69,Moderate
00:25:10,28.9,63.9,173,70,Moderate
00:25:17,28.9,63.8,176,70,Moderate
00:25:25,28.9,63.8,180,70,Moderate
00:25:51,28.9,63.9,179,70,Moderate
00:25:58,28.9,63.8,179,70,Moderate
00:26:05,28.9,63.8,180,70,Moderate
00:26:13,28.9,63.8,184,69,Moderate
00:26:19,28.9,63.8,179,70,Moderate
00:26:27,28.9,63.8,183,69,Moderate
00:26:35,28.9,63.8,174,70,Moderate
00:26:42,28.9,63.8,172,70,Moderate
00:26:49,28.9,63.8,175,70,Moderate
00:26:55,28.9,63.8,180,70,Moderate
00:27:02,28.9,63.8,186,69,Moderate
00:27:08,28.9,63.8,181,70,Moderate
00:27:14,28.9,63.8,178,70,Moderate
00:27:21,28.9,63.8,177,70,Moderate
00:27:27,28.9,63.8,182,69,Moderate
00:27:33,28.9,63.7,180,70,Moderate
00:27:40,28.9,63.7,176,70,Moderate
00:27:48,28.9,63.7,180,70,Moderate
00:27:56,28.9,63.7,183,69,Moderate
00:28:02,28.9,63.7,173,70,Moderate
