id,temperature,humidity,air_quality,created_at
1,28.4,62.5,1267,2026-02-27 15:14:24.033603
2,28.5,62.4,1273,2026-02-27 15:14:30.564295
3,28.4,62.6,1312,2026-02-27 15:14:37.482932
4,28.4,62.6,1277,2026-02-27 15:14:43.861875
5,28.4,62.6,1274,2026-02-27 15:15:30.370439
6,28.5,62.6,1239,2026-02-27 15:15:36.871344
7,28.5,62.6,1296,2026-02-27 15:15:43.655282
8,28.4,62.9,1269,2026-02-27 15:16:22.3889
9,30.5,95,1264,2026-02-27 15:17:03.535364
10,28.9,68,1265,2026-02-27 15:17:19.970436
11,28.6,64.6,1259,2026-02-27 15:17:56.795854
12,28.5,64.5,1243,2026-02-27 15:18:13.765284
13,28.4,64.7,1263,2026-02-27 15:20:55.51159
14,28.4,64.8,1233,2026-02-27 15:21:13.958323
15,28.4,65.1,1258,2026-02-27 15:21:42.439173
16,28.4,65.1,1244,2026-02-27 15:22:01.078103
17,28.4,65.5,1280,2026-02-27 15:22:39.609867
18,28.5,65.6,1201,2026-02-27 15:23:17.892474
19,28.5,67.5,1245,2026-02-27 15:27:19.665145
20,28.5,67.8,1260,2026-02-27 15:29:03.447809
21,28.5,67.8,1253,2026-02-27 15:29:10.596932
22,28.5,68.1,1265,2026-02-27 15:30:38.833097
23,28.5,68.6,1245,2026-02-27 15:33:34.307619
24,28.6,69.6,1243,2026-02-27 15:34:11.210682
25,28.6,69.7,1283,2026-02-27 15:34:18.012375
26,28.6,70,1279,2026-02-27 15:34:56.678337
27,28.6,70.1,1294,2026-02-27 15:35:33.756004
28,28.6,70.5,1281,2026-02-27 15:36:01.606808
29,28.6,70.5,1275,2026-02-27 15:36:19.848919
30,28.6,70.6,1284,2026-02-27 15:36:29.344404
31,28.6,70.5,1264,2026-02-27 15:36:35.981351
32,28.6,70.6,1266,2026-02-27 15:36:42.573071
33,28.6,70.6,1280,2026-02-27 15:36:58.054796
34,28.6,70.6,1245,2026-02-27 15:37:10.423494
35,28.6,70.7,1258,2026-02-27 15:37:28.703607
36,28.7,71.5,1273,2026-02-27 15:40:08.060993
37,28.7,72,1268,2026-02-27 15:42:16.734012
38,28.7,72.2,1257,2026-02-27 15:42:44.630036
39,28.7,72.3,1298,2026-02-27 15:43:02.516269
40,28.7,72.3,1291,2026-02-27 15:43:10.744035
41,28.7,72.3,1322,2026-02-27 15:43:20.509139
42,28.7,72.3,1286,2026-02-27 15:43:26.942343
43,28.7,72.4,1314,2026-02-27 15:43:33.348872
44,28.7,72.5,1297,2026-02-27 15:43:49.725799
45,28.7,72.5,1285,2026-02-27 15:43:56.097359
46,28.7,72.6,1278,2026-02-27 15:44:25.173742
47,28.7,72.7,1274,2026-02-27 15:44:33.744433
48,28.7,72.8,1292,2026-02-27 15:44:40.540751
49,28.7,72.8,1299,2026-02-27 15:44:47.240103
50,28.7,72.8,1268,2026-02-27 15:44:58.2521
51,28.8,72.6,1280,2026-02-27 15:45:25.408549
52,28.8,72.6,1297,2026-02-27 15:45:31.729998
53,28.8,72.5,1279,2026-02-27 15:45:52.700896
54,28.9,72.6,1255,2026-02-27 15:46:09.226279
55,28.9,72.5,1310,2026-02-27 15:46:15.785359
56,28.9,72.7,1138,2026-02-27 15:46:32.227028
57,29.6,90.9,1738,2026-02-27 15:46:41.908309
58,28.8,73.3,1293,2026-02-27 15:49:14.307655
59,28.8,73.3,1302,2026-02-27 15:49:23.278609
60,28.7,72.9,1360,2026-02-27 15:50:38.277471
61,28.7,72.9,1332,2026-02-27 15:50:45.298493
62,28.7,72.8,1393,2026-02-27 15:50:52.097164
63,28.7,72.8,1424,2026-02-27 15:50:58.477874
64,28.7,72.8,1365,2026-02-27 15:51:08.260047
65,28.7,72.8,1328,2026-02-27 15:51:15.31819
66,28.7,72.8,1365,2026-02-27 15:51:22.210699
67,28.7,72.8,1385,2026-02-27 15:51:29.221473
68,28.7,72.8,1339,2026-02-27 15:51:38.794383
69,28.7,72.8,1358,2026-02-27 15:51:45.553152
70,28.7,72.8,1360,2026-02-27 15:51:52.466139
71,28.7,72.7,1330,2026-02-27 15:51:59.87944
72,28.7,72.6,1376,2026-02-27 15:52:10.342271
73,28.7,72.6,1350,2026-02-27 15:52:18.273522
74,28.7,72.5,1304,2026-02-27 15:52:25.494486
75,28.7,72.5,1309,2026-02-27 15:52:32.938078
76,28.8,72.3,1369,2026-02-27 15:52:41.29644
77,28.7,72.4,1409,2026-02-27 15:52:48.306001
78,28.8,72.2,1394,2026-02-27 15:52:55.069691
79,28.8,72.2,1360,2026-02-27 15:53:02.195941
80,28.8,72.2,1281,2026-02-27 15:53:11.625174
81,28.8,72.2,1347,2026-02-27 15:53:18.414706
82,28.8,72.1,1342,2026-02-27 15:53:25.306024
83,28.8,72,1296,2026-02-27 15:53:32.256571
84,28.8,71.9,1289,2026-02-27 15:53:39.020062
85,28.8,71.9,1286,2026-02-27 15:53:46.403006
86,28.8,71.9,1299,2026-02-27 15:53:52.738088
87,28.8,71.7,1303,2026-02-27 15:54:09.530277
88,28.8,71.7,1289,2026-02-27 15:54:16.412396
89,28.8,71.4,1199,2026-02-27 15:54:44.696099
90,28.7,71.4,1291,2026-02-27 15:54:51.51034
91,28.7,71.4,1319,2026-02-27 15:54:58.950304
92,28.7,71.3,1294,2026-02-27 15:55:05.848723
93,28.7,71.2,1287,2026-02-27 15:55:32.316576
94,28.7,71.1,1280,2026-02-27 15:55:39.237771
95,28.7,71.1,1287,2026-02-27 15:55:46.395076
96,28.7,71.1,1335,2026-02-27 15:55:52.950168
97,28.6,71.1,1321,2026-02-27 15:55:59.947413
98,28.6,71.1,1293,2026-02-27 15:56:37.811157
99,28.6,71.1,1271,2026-02-27 15:56:47.549351
100,28.6,71.1,1295,2026-02-27 15:56:54.605121
101,28.6,71,1302,2026-02-27 15:57:00.987038
102,28.6,70.9,1302,2026-02-27 15:57:24.753339
103,28.5,70.9,1289,2026-02-27 15:57:31.106776
104,28.5,70.9,1247,2026-02-27 15:57:37.834968
105,28.5,70.8,1267,2026-02-27 15:58:15.969936
106,28.5,70.8,1296,2026-02-27 15:58:22.776241
107,28.5,70.7,1325,2026-02-27 15:58:29.840108
108,28.5,70.7,1301,2026-02-27 15:58:36.598716
109,28.5,70.6,1346,2026-02-27 15:58:43.36613
110,28.5,70.6,1345,2026-02-27 15:58:51.781559
111,28.5,70.6,1312,2026-02-27 15:58:58.594518
112,28.5,70.6,1329,2026-02-27 15:59:05.692996
113,28.5,70.5,1335,2026-02-27 15:59:12.662793
114,28.5,70.5,1301,2026-02-27 15:59:21.86052
115,28.5,70.5,1303,2026-02-27 15:59:28.82312
116,28.5,70.5,1298,2026-02-27 15:59:36.097314
117,28.5,70.5,1301,2026-02-27 15:59:43.754431
118,28.5,70.5,1286,2026-02-27 15:59:51.974718
119,28.5,70.5,1328,2026-02-27 15:59:58.727841
120,28.5,70.5,1318,2026-02-27 16:00:05.722399
121,28.5,70.5,1312,2026-02-27 16:00:12.985044
122,28.5,70.4,1298,2026-02-27 16:00:22.698436
123,28.5,70.3,1255,2026-02-27 16:00:29.713959
124,28.5,70.3,1351,2026-02-27 16:00:36.835364
125,28.5,70.2,1280,2026-02-27 16:00:44.129167
126,28.5,70.2,1327,2026-02-27 16:00:54.020181
127,28.5,70.2,1359,2026-02-27 16:01:01.185821
128,28.5,70.2,1346,2026-02-27 16:01:19.731874
129,28.5,70.1,1294,2026-02-27 16:01:26.571243
130,28.4,70.2,1328,2026-02-27 16:01:33.556156
131,28.4,70.2,1296,2026-02-27 16:01:40.309705
132,28.4,70.1,1346,2026-02-27 16:01:47.148769
133,28.5,70,1350,2026-02-27 16:01:56.551413
134,28.4,70.1,1331,2026-02-27 16:02:03.698013
135,28.4,70,1347,2026-02-27 16:02:10.817036
136,28.4,70,1342,2026-02-27 16:02:17.811963
